epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.888862,4.14274,7.29717,2.08282,0,0,0,0,3.03713,7.09934,1.23981,0.1,0,0
2,1.69607,4.88138,5.93647,2.62978,0,0,0,0,2.82456,7.03502,1.21022,0.0990996,9.9604e-05,9.9604e-05
3,2.45424,4.7499,6.6614,1.98451,0,0,0,0,2.87894,6.9224,1.24674,0.0981984,0.000198416,0.000198416
4,3.07328,2.14932,5.30236,1.17385,0,0,0,0,2.87199,6.79084,1.28167,0.0972964,0.000296436,0.000296436
5,3.71955,3.01977,8.40164,1.53338,0,0,0,0,2.83397,6.54758,1.29431,0.0963937,0.000393664,0.000393664
6,4.36016,3.80878,7.29684,1.60388,0,0,0,0,2.71367,6.45986,1.279,0.0954901,0.0004901,0.0004901
7,4.97419,4.21847,8.97808,1.55898,0,0,0,0,2.98832,5.8991,1.44322,0.0945857,0.000585744,0.000585744
8,5.69886,3.22108,5.37054,1.48622,0,0,0,0,1.84188,6.44485,1.12371,0.0936806,0.000680596,0.000680596
9,6.2897,3.18862,5.46403,1.20227,0,0,0,0,1.84188,6.44485,1.12371,0.0927747,0.000774656,0.000774656
10,6.90711,2.42841,6.24723,1.51752,0,0,0,0,2.23678,6.08729,1.22994,0.0918679,0.000867924,0.000867924
11,7.69257,0,7.66157,0,0,0,0,0,2.23678,6.08729,1.22994,0.0909604,0.0009604,0.0009604
12,8.31088,3.0041,6.5533,1.797,0,0,0,0,2.70378,5.4991,1.36131,0.0900521,0.00105208,0.00105208
13,8.89564,2.45831,5.77387,1.57937,0,0,0,0,2.70378,5.4991,1.36131,0.089143,0.00114298,0.00114298
14,9.5165,2.39082,6.89087,1.33212,0,0,0,0,1.94734,5.07354,1.06431,0.0882331,0.00123308,0.00123308
15,10.2006,2.40278,5.78859,1.50305,0,0,0,0,1.94734,5.07354,1.06431,0.0873224,0.00132238,0.00132238
16,10.8168,2.79557,6.52081,1.581,0,0,0,0,1.48627,5.29911,0.9383,0.0864109,0.0014109,0.0014109
17,11.511,2.0136,5.1701,1.0589,0,0,0,0,1.48627,5.29911,0.9383,0.0854986,0.00149862,0.00149862
18,12.1395,2.77694,4.94241,1.61013,0,0,0,0,1.33036,5.0557,0.94847,0.0845856,0.00158556,0.00158556
19,12.7968,2.74366,5.92639,1.08213,0,0,0,0,1.33036,5.0557,0.94847,0.0836717,0.0016717,0.0016717
20,13.4195,1.8689,5.60168,1.21762,0,0,0,0,1.82488,4.67589,0.9288,0.082757,0.00175704,0.00175704
21,14.0099,2.68162,4.9934,1.00126,0,0,0,0,1.82488,4.67589,0.9288,0.0818416,0.0018416,0.0018416
22,14.6315,2.96493,5.13089,1.10594,0,0,0,0,2.11402,4.64612,0.96101,0.0809254,0.00192536,0.00192536
23,15.2842,0,7.14952,0,0,0,0,0,2.11402,4.64612,0.96101,0.0800083,0.00200834,0.00200834
24,15.9553,2.12505,5.18652,1.11894,0,0,0,0,2.11402,4.64612,0.96101,0.0790905,0.00209052,0.00209052
25,16.6543,2.06102,5.15447,1.28813,0,0,0,0,2.23005,4.9473,0.97716,0.0781719,0.0021719,0.0021719
26,17.317,2.30696,5.1507,0.87104,0,0,0,0,2.23005,4.9473,0.97716,0.0772525,0.0022525,0.0022525
27,17.9793,1.8254,5.1464,1.155,0,0,0,0,2.23005,4.9473,0.97716,0.0763323,0.0023323,0.0023323
28,18.6675,2.62622,4.95448,1.42605,0,0,0,0,1.663,4.69219,0.89601,0.0754113,0.00241132,0.00241132
29,19.3294,2.41199,4.78756,1.04985,0,0,0,0,1.663,4.69219,0.89601,0.0744895,0.00248954,0.00248954
30,20.0116,1.98266,4.91546,1.25265,0,0,0,0,1.663,4.69219,0.89601,0.073567,0.00256696,0.00256696
31,20.7097,1.70263,4.66473,1.08652,0,0,0,0,1.42649,4.55992,0.87972,0.0726436,0.0026436,0.0026436
32,21.36,1.76304,4.11863,0.96064,0,0,0,0,1.42649,4.55992,0.87972,0.0717194,0.00271944,0.00271944
33,22.0364,1.12864,4.23234,1.02754,0,0,0,0,1.42649,4.55992,0.87972,0.0707945,0.0027945,0.0027945
34,22.7311,1.5815,3.86051,0.85504,0.00249,0.5,0.00559,0.00391,1.13474,4.2949,0.81985,0.0698688,0.00286876,0.00286876
35,23.4095,1.58407,4.3816,1.0817,0.00249,0.5,0.00559,0.00391,1.13474,4.2949,0.81985,0.0689422,0.00294222,0.00294222
36,24.0875,1.66157,4.23393,1.27482,0.00249,0.5,0.00559,0.00391,1.13474,4.2949,0.81985,0.0680149,0.0030149,0.0030149
37,24.7744,1.90645,3.63847,0.93975,0.00249,0.5,0.00559,0.00391,1.13474,4.2949,0.81985,0.0670868,0.00308678,0.00308678
38,25.578,1.34351,4.48835,1.06269,0.00275,0.5,0.00535,0.00481,0.99874,4.1492,0.81277,0.0661579,0.00315788,0.00315788
39,26.261,1.17711,3.85072,1.08049,0.00275,0.5,0.00535,0.00481,0.99874,4.1492,0.81277,0.0652282,0.00322818,0.00322818
40,26.9651,1.44123,4.04258,1.28809,0.00275,0.5,0.00535,0.00481,0.99874,4.1492,0.81277,0.0642977,0.00329768,0.00329768
41,27.7301,1.64467,3.57022,0.99272,0.00275,0.5,0.00535,0.00481,0.99874,4.1492,0.81277,0.0633664,0.0033664,0.0033664
42,28.5439,1.07995,3.56825,0.95333,0,0,0,0,0.78486,4.10402,0.76882,0.0624343,0.00343432,0.00343432
43,29.2002,1.6143,3.8464,1.07315,0,0,0,0,0.78486,4.10402,0.76882,0.0615015,0.00350146,0.00350146
44,29.8667,1.62177,3.27935,0.99459,0,0,0,0,0.78486,4.10402,0.76882,0.0605678,0.0035678,0.0035678
45,30.5381,1.28182,4.16742,1.01435,0,0,0,0,0.78486,4.10402,0.76882,0.0596333,0.00363334,0.00363334
46,31.3478,1.4398,3.85074,1.06364,0,0,0,0,0.74956,4.04602,0.73164,0.0586981,0.0036981,0.0036981
47,32.0556,2.62052,3.75331,1.35042,0,0,0,0,0.74956,4.04602,0.73164,0.0577621,0.00376206,0.00376206
48,32.7735,1.12269,2.57989,1.02964,0,0,0,0,0.74956,4.04602,0.73164,0.0568252,0.00382524,0.00382524
49,33.4524,1.8014,2.72777,1.01425,0,0,0,0,0.74956,4.04602,0.73164,0.0558876,0.00388762,0.00388762
50,34.2028,0,6.85954,0,0.00249,0.5,0.00858,0.00772,0.89478,3.81146,0.70176,0.0549492,0.0039492,0.0039492
51,34.901,2.2764,3.72775,1.1598,0.00249,0.5,0.00858,0.00772,0.89478,3.81146,0.70176,0.05401,0.00401,0.00401
52,35.5727,1.23045,2.20685,0.83743,0.00249,0.5,0.00858,0.00772,0.89478,3.81146,0.70176,0.05307,0.00407,0.00407
53,36.2386,1.33228,2.23905,0.78302,0.00249,0.5,0.00858,0.00772,0.89478,3.81146,0.70176,0.0521292,0.00412922,0.00412922
54,36.8892,2.7872,3.24875,1.32018,0.00249,0.5,0.00858,0.00772,0.89478,3.81146,0.70176,0.0511876,0.00418764,0.00418764
55,37.5904,1.67182,2.59119,1.07451,0.00762,1,0.50493,0.2552,1.24755,3.60869,0.77953,0.0502453,0.00424526,0.00424526
56,38.341,1.5803,2.16264,0.78831,0.00762,1,0.50493,0.2552,1.24755,3.60869,0.77953,0.0493021,0.0043021,0.0043021
57,39.1224,1.59497,2.02808,0.92018,0.00762,1,0.50493,0.2552,1.24755,3.60869,0.77953,0.0483581,0.00435814,0.00435814
58,39.7969,1.21832,1.84848,1.06477,0.00762,1,0.50493,0.2552,1.24755,3.60869,0.77953,0.0474134,0.0044134,0.0044134
59,40.5174,1.89086,2.4334,1.41231,0.00762,1,0.50493,0.2552,1.24755,3.60869,0.77953,0.0464679,0.00446786,0.00446786
60,41.3684,1.91425,2.31306,0.96322,0.00733,1,0.995,0.74625,1.10897,3.25319,0.77251,0.0455215,0.00452152,0.00452152
61,42.0689,1.23243,3.00176,0.93492,0.00733,1,0.995,0.74625,1.10897,3.25319,0.77251,0.0445744,0.0045744,0.0045744
62,42.7358,1.33836,2.31113,1.05811,0.00733,1,0.995,0.74625,1.10897,3.25319,0.77251,0.0436265,0.00462648,0.00462648
63,43.4207,1.17127,2.83431,0.76128,0.00733,1,0.995,0.74625,1.10897,3.25319,0.77251,0.0426778,0.00467778,0.00467778
64,44.0748,1.23875,2.18,0.93403,0.00733,1,0.995,0.74625,1.10897,3.25319,0.77251,0.0417283,0.00472828,0.00472828
65,44.7801,1.60165,3.59211,0.88375,0.00762,1,0.62187,0.38556,1.15233,3.53304,0.82543,0.040778,0.00477798,0.00477798
66,45.4551,1.82646,2.44729,1.19711,0.00762,1,0.62187,0.38556,1.15233,3.53304,0.82543,0.0398269,0.0048269,0.0048269
