epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.55661,2.41816,5.38966,1.20848,0,0,0,0,2.33689,4.82252,1.19843,0.1,0,0
2,2.48992,2.66464,4.83441,1.51712,0,0,0,0,2.30483,4.81942,1.19128,0.0990996,9.9604e-05,9.9604e-05
3,3.25616,3.91065,7.15048,1.80136,0,0,0,0,2.29375,4.81875,1.18974,0.0981984,0.000198416,0.000198416
4,4.01369,2.98233,5.78706,1.41971,0,0,0,0,2.29614,4.82446,1.18205,0.0972964,0.000296436,0.000296436
5,4.77174,3.11245,6.0724,1.2639,0,0,0,0,2.07431,4.75891,1.11822,0.0963937,0.000393664,0.000393664
6,5.45367,2.38196,5.44921,1.07621,0,0,0,0,1.87003,4.64229,1.06629,0.0954901,0.0004901,0.0004901
7,6.18934,4.07915,10.4528,1.94333,0,0,0,0,1.74495,4.54834,1.04248,0.0945857,0.000585744,0.000585744
8,6.9052,1.90929,5.27417,1.04727,0,0,0,0,1.85557,4.49326,1.04928,0.0936806,0.000680596,0.000680596
9,7.58448,3.54092,5.96421,1.43026,0,0,0,0,1.85557,4.49326,1.04928,0.0927747,0.000774656,0.000774656
10,8.30563,1.57932,4.54557,1.16242,0,0,0,0,1.91016,4.50493,1.00751,0.0918679,0.000867924,0.000867924
11,8.97776,0,7.74438,0,0,0,0,0,1.91016,4.50493,1.00751,0.0909604,0.0009604,0.0009604
12,9.70476,2.43124,5.1114,1.13712,0,0,0,0,1.68234,4.60984,0.92619,0.0900521,0.00105208,0.00105208
13,10.4817,1.71315,4.82685,1.1488,0,0,0,0,1.68234,4.60984,0.92619,0.089143,0.00114298,0.00114298
14,11.3552,1.47942,4.74131,1.11123,0,0,0,0,1.63357,4.48675,0.93133,0.0882331,0.00123308,0.00123308
15,12.1866,1.42249,4.50647,0.9539,0,0,0,0,1.63357,4.48675,0.93133,0.0873224,0.00132238,0.00132238
16,13.1002,1.5582,5.35522,0.98046,0,0,0,0,1.52062,4.28975,0.91877,0.0864109,0.0014109,0.0014109
17,14.2159,1.76165,4.68188,1.01212,0,0,0,0,1.52062,4.28975,0.91877,0.0854986,0.00149862,0.00149862
18,15.1173,1.65503,4.73036,0.96456,0,0,0,0,1.4282,4.27693,0.87421,0.0845856,0.00158556,0.00158556
19,15.9052,1.28345,4.78506,0.95594,0,0,0,0,1.4282,4.27693,0.87421,0.0836717,0.0016717,0.0016717
20,16.6638,1.44504,4.73312,0.87744,0.00301,0.25,0.00365,0.00182,1.16079,4.22656,0.8462,0.082757,0.00175704,0.00175704
21,17.3976,1.90381,4.30004,0.9108,0.00301,0.25,0.00365,0.00182,1.16079,4.22656,0.8462,0.0818416,0.0018416,0.0018416
22,18.1438,2.18672,4.9583,1.12295,0.00305,0.25,0.00447,0.00268,1.26005,4.23224,0.85122,0.0809254,0.00192536,0.00192536
23,18.833,0,7.28743,0,0.00305,0.25,0.00447,0.00268,1.26005,4.23224,0.85122,0.0800083,0.00200834,0.00200834
24,19.5217,1.50758,4.35583,0.86217,0.00305,0.25,0.00447,0.00268,1.26005,4.23224,0.85122,0.0790905,0.00209052,0.00209052
25,20.2664,1.35373,4.35656,0.86801,0.00321,0.25,0.00395,0.00198,1.22426,4.17751,0.85956,0.0781719,0.0021719,0.0021719
26,20.9711,2.97523,4.73829,1.04868,0.00321,0.25,0.00395,0.00198,1.22426,4.17751,0.85956,0.0772525,0.0022525,0.0022525
27,21.6848,1.16543,3.77455,0.79357,0.00321,0.25,0.00395,0.00198,1.22426,4.17751,0.85956,0.0763323,0.0023323,0.0023323
28,22.4104,1.17427,3.88254,0.92845,0.00327,0.25,0.00437,0.00306,1.2746,4.13725,0.86084,0.0754113,0.00241132,0.00241132
29,23.1186,1.24887,3.78658,0.83153,0.00327,0.25,0.00437,0.00306,1.2746,4.13725,0.86084,0.0744895,0.00248954,0.00248954
30,23.8332,0.9316,3.75068,0.81855,0.00327,0.25,0.00437,0.00306,1.2746,4.13725,0.86084,0.073567,0.00256696,0.00256696
31,24.589,1.17079,3.71757,0.88048,0.00676,0.5,0.01144,0.00633,1.22172,4.08801,0.87792,0.0726436,0.0026436,0.0026436
32,25.3032,1.35255,3.40833,0.86852,0.00676,0.5,0.01144,0.00633,1.22172,4.08801,0.87792,0.0717194,0.00271944,0.00271944
33,25.9929,1.17176,3.28205,0.8415,0.00676,0.5,0.01144,0.00633,1.22172,4.08801,0.87792,0.0707945,0.0027945,0.0027945
34,27.3171,1.33929,2.96115,0.90944,0.00613,0.5,0.01531,0.00806,1.38681,4.03759,0.86326,0.0698688,0.00286876,0.00286876
35,28.1688,1.41661,3.89434,0.91139,0.00613,0.5,0.01531,0.00806,1.38681,4.03759,0.86326,0.0689422,0.00294222,0.00294222
36,28.9079,1.74215,2.87002,1.12936,0.00613,0.5,0.01531,0.00806,1.38681,4.03759,0.86326,0.0680149,0.0030149,0.0030149
37,29.6382,1.56506,2.24813,0.94479,0.00613,0.5,0.01531,0.00806,1.38681,4.03759,0.86326,0.0670868,0.00308678,0.00308678
38,30.3848,1.75,3.30517,1.03512,0.00617,0.5,0.01605,0.00899,1.13642,3.86616,0.81637,0.0661579,0.00315788,0.00315788
39,31.3015,1.15041,2.45139,0.8862,0.00617,0.5,0.01605,0.00899,1.13642,3.86616,0.81637,0.0652282,0.00322818,0.00322818
40,32.0334,1.36143,2.26461,0.91742,0.00617,0.5,0.01605,0.00899,1.13642,3.86616,0.81637,0.0642977,0.00329768,0.00329768
41,32.7251,2.09207,1.88987,1.02573,0.00617,0.5,0.01605,0.00899,1.13642,3.86616,0.81637,0.0633664,0.0033664,0.0033664
42,33.5766,1.30086,1.74398,0.9411,0.00637,0.5,0.01809,0.01447,1.08022,3.64071,0.82093,0.0624343,0.00343432,0.00343432
43,34.3185,1.30261,2.48158,1.16761,0.00637,0.5,0.01809,0.01447,1.08022,3.64071,0.82093,0.0615015,0.00350146,0.00350146
44,35.1593,1.56855,1.81282,0.93916,0.00637,0.5,0.01809,0.01447,1.08022,3.64071,0.82093,0.0605678,0.0035678,0.0035678
45,35.8601,1.25718,2.13068,0.93253,0.00637,0.5,0.01809,0.01447,1.08022,3.64071,0.82093,0.0596333,0.00363334,0.00363334
46,36.6181,1.13137,3.28681,0.81826,0.00633,0.5,0.01658,0.01147,0.7914,3.68745,0.80765,0.0586981,0.0036981,0.0036981
47,37.2724,1.83931,1.90786,0.91778,0.00633,0.5,0.01658,0.01147,0.7914,3.68745,0.80765,0.0577621,0.00376206,0.00376206
48,37.947,1.07896,1.59314,0.91595,0.00633,0.5,0.01658,0.01147,0.7914,3.68745,0.80765,0.0568252,0.00382524,0.00382524
49,38.6224,0.99635,1.45597,0.86137,0.00633,0.5,0.01658,0.01147,0.7914,3.68745,0.80765,0.0558876,0.00388762,0.00388762
50,39.3047,0,7.88109,0,0.00654,0.5,0.25556,0.20301,0.93562,3.46388,0.8287,0.0549492,0.0039492,0.0039492
51,40.0113,1.8154,2.29736,1.02473,0.00654,0.5,0.25556,0.20301,0.93562,3.46388,0.8287,0.05401,0.00401,0.00401
52,40.7618,1.24903,2.32627,0.90184,0.00654,0.5,0.25556,0.20301,0.93562,3.46388,0.8287,0.05307,0.00407,0.00407
53,41.4303,1.23975,1.68257,0.81477,0.00654,0.5,0.25556,0.20301,0.93562,3.46388,0.8287,0.0521292,0.00412922,0.00412922
54,42.1078,1.97198,2.91864,1.00855,0.00654,0.5,0.25556,0.20301,0.93562,3.46388,0.8287,0.0511876,0.00418764,0.00418764
55,42.8311,0.97129,2.13191,0.91058,0.00641,0.5,0.01631,0.01127,0.94199,3.60443,0.79069,0.0502453,0.00424526,0.00424526
56,43.5038,2.16515,2.33927,1.01648,0.00641,0.5,0.01631,0.01127,0.94199,3.60443,0.79069,0.0493021,0.0043021,0.0043021
57,44.1778,1.46263,2.08001,0.8237,0.00641,0.5,0.01631,0.01127,0.94199,3.60443,0.79069,0.0483581,0.00435814,0.00435814
58,44.869,1.32616,1.77404,0.89517,0.00641,0.5,0.01631,0.01127,0.94199,3.60443,0.79069,0.0474134,0.0044134,0.0044134
