epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.567741,0.75555,3.25577,1.05404,0.02113,1,0.09859,0.07574,0.61803,4.69931,0.87786,0.1,0,0
2,1.16042,0.94531,3.16682,1.14044,0.01923,1,0.11739,0.09057,0.59551,4.63601,0.89248,0.0990996,9.9604e-05,9.9604e-05
3,1.6979,1.26293,3.2554,0.99654,0.02027,1,0.17559,0.13901,0.55479,4.58202,0.89811,0.0981984,0.000198416,0.000198416
4,2.25278,0.74289,2.9788,1.0442,0.01899,1,0.32067,0.26343,0.53264,4.46552,0.90249,0.0972964,0.000296436,0.000296436
5,2.78346,0.62538,3.5823,0.85479,0.0184,1,0.83,0.7807,0.49334,4.20571,0.92079,0.0963937,0.000393664,0.000393664
6,3.34896,1.06301,2.87931,1.01505,0.01807,1,0.995,0.91245,0.47165,3.94457,0.92967,0.0954901,0.0004901,0.0004901
7,4.11212,0.63396,2.78504,0.89246,0.01744,1,0.995,0.91244,0.45622,3.53582,0.95023,0.0945857,0.000585744,0.000585744
8,4.89599,0.63718,2.54028,0.89771,0.94025,1,0.995,0.91245,0.45759,2.9907,0.95754,0.0936806,0.000680596,0.000680596
9,5.55668,0.68135,2.19611,0.91489,0.94025,1,0.995,0.91245,0.45759,2.9907,0.95754,0.0927747,0.000774656,0.000774656
10,6.2208,0.70116,2.60439,1.02576,0.97759,1,0.995,0.91243,0.45713,1.93822,0.96316,0.0918679,0.000867924,0.000867924
11,6.83879,0.77478,1.98634,1.21672,0.97759,1,0.995,0.91243,0.45713,1.93822,0.96316,0.0909604,0.0009604,0.0009604
12,7.51103,0.57427,1.75654,0.9269,0.98637,1,0.995,0.91243,0.44445,0.73641,0.9581,0.0900521,0.00105208,0.00105208
13,8.13249,0.71356,1.8986,1.133,0.98637,1,0.995,0.91243,0.44445,0.73641,0.9581,0.089143,0.00114298,0.00114298
14,8.80173,0.75611,1.48749,1.15531,0.98679,1,0.995,0.91242,0.44472,0.58288,0.95695,0.0882331,0.00123308,0.00123308
15,9.47189,0.5381,1.22499,0.98338,0.98679,1,0.995,0.91242,0.44472,0.58288,0.95695,0.0873224,0.00132238,0.00132238
16,10.1647,0.61094,0.88688,0.97572,0.98663,1,0.995,0.92917,0.40893,0.77624,0.95,0.0864109,0.0014109,0.0014109
17,10.9512,0.48941,1.14568,0.93494,0.98663,1,0.995,0.92917,0.40893,0.77624,0.95,0.0854986,0.00149862,0.00149862
18,11.6797,0.42506,0.82805,0.86381,0.98588,1,0.995,0.90735,0.42088,1.38743,0.9567,0.0845856,0.00158556,0.00158556
19,12.3195,0.52456,0.6231,0.86477,0.98588,1,0.995,0.90735,0.42088,1.38743,0.9567,0.0836717,0.0016717,0.0016717
20,13.0182,0.51668,0.60311,0.96207,0.98524,1,0.995,0.8955,0.46859,1.96975,0.9641,0.082757,0.00175704,0.00175704
21,13.6903,0.70778,0.91028,0.88983,0.98524,1,0.995,0.8955,0.46859,1.96975,0.9641,0.0818416,0.0018416,0.0018416
22,14.4082,0.61188,0.74822,0.81991,0.98405,1,0.995,0.91243,0.44771,2.62474,0.97203,0.0809254,0.00192536,0.00192536
23,15.0654,0.61608,1.73994,1.13801,0.98405,1,0.995,0.91243,0.44771,2.62474,0.97203,0.0800083,0.00200834,0.00200834
24,15.7665,0.48181,0.76478,0.93748,0.98405,1,0.995,0.91243,0.44771,2.62474,0.97203,0.0790905,0.00209052,0.00209052
25,16.5513,0.38708,0.68451,0.8676,0.97704,1,0.995,0.95119,0.43435,2.52292,0.96674,0.0781719,0.0021719,0.0021719
26,17.2348,0.59863,0.59663,0.90076,0.97704,1,0.995,0.95119,0.43435,2.52292,0.96674,0.0772525,0.0022525,0.0022525
27,17.9478,0.44018,0.7684,0.8534,0.97704,1,0.995,0.95119,0.43435,2.52292,0.96674,0.0763323,0.0023323,0.0023323
28,18.7175,0.46518,0.54831,0.94602,0.98564,1,0.995,0.90738,0.42479,1.8532,0.949,0.0754113,0.00241132,0.00241132
29,19.4777,0.60067,0.94392,0.97823,0.98564,1,0.995,0.90738,0.42479,1.8532,0.949,0.0744895,0.00248954,0.00248954
30,20.1404,0.63277,0.72908,0.94796,0.98564,1,0.995,0.90738,0.42479,1.8532,0.949,0.073567,0.00256696,0.00256696
31,20.7887,0.34174,0.56526,0.70824,0.98544,1,0.995,0.8955,0.47152,1.37804,0.96118,0.0726436,0.0026436,0.0026436
32,21.3861,0.44882,0.63559,0.93249,0.98544,1,0.995,0.8955,0.47152,1.37804,0.96118,0.0717194,0.00271944,0.00271944
33,22.0365,0.35223,0.57769,0.95331,0.98544,1,0.995,0.8955,0.47152,1.37804,0.96118,0.0707945,0.0027945,0.0027945
34,22.7528,0.54263,0.6918,0.90437,0.98641,1,0.995,0.8955,0.51366,0.98533,0.97682,0.0698688,0.00286876,0.00286876
35,23.3885,0.72179,0.86674,1.19352,0.98641,1,0.995,0.8955,0.51366,0.98533,0.97682,0.0689422,0.00294222,0.00294222
36,24.1873,0.35318,1.1559,0.93528,0.98641,1,0.995,0.8955,0.51366,0.98533,0.97682,0.0680149,0.0030149,0.0030149
37,24.8996,0.51099,0.55798,0.85753,0.98641,1,0.995,0.8955,0.51366,0.98533,0.97682,0.0670868,0.00308678,0.00308678
38,25.6125,0.51138,0.62972,0.9291,0.98702,1,0.995,0.8955,0.58436,0.64321,0.99963,0.0661579,0.00315788,0.00315788
39,26.2417,0.39218,0.96551,1.05028,0.98702,1,0.995,0.8955,0.58436,0.64321,0.99963,0.0652282,0.00322818,0.00322818
40,26.8835,0.56049,0.75327,0.93012,0.98702,1,0.995,0.8955,0.58436,0.64321,0.99963,0.0642977,0.00329768,0.00329768
41,27.5477,0.5628,0.69404,0.91181,0.98702,1,0.995,0.8955,0.58436,0.64321,0.99963,0.0633664,0.0033664,0.0033664
42,28.3214,0.40042,0.50602,0.86419,0.98714,1,0.995,0.90687,0.49154,0.55996,0.96851,0.0624343,0.00343432,0.00343432
43,28.9569,0.42584,1.41584,0.91174,0.98714,1,0.995,0.90687,0.49154,0.55996,0.96851,0.0615015,0.00350146,0.00350146
44,29.6771,0.37748,0.56231,0.79633,0.98714,1,0.995,0.90687,0.49154,0.55996,0.96851,0.0605678,0.0035678,0.0035678
45,30.294,0.53295,0.70872,0.84304,0.98714,1,0.995,0.90687,0.49154,0.55996,0.96851,0.0596333,0.00363334,0.00363334
46,30.9314,0.44813,0.59286,0.84563,0.98726,1,0.995,0.9622,0.41849,0.5434,0.9496,0.0586981,0.0036981,0.0036981
47,31.5457,0.63258,0.69921,0.90484,0.98726,1,0.995,0.9622,0.41849,0.5434,0.9496,0.0577621,0.00376206,0.00376206
48,32.1717,0.36952,0.60604,0.84398,0.98726,1,0.995,0.9622,0.41849,0.5434,0.9496,0.0568252,0.00382524,0.00382524
49,32.8071,0.3105,0.4952,0.90642,0.98726,1,0.995,0.9622,0.41849,0.5434,0.9496,0.0558876,0.00388762,0.00388762
50,33.6516,0.63391,1.32509,1.12717,0.98717,1,0.995,0.90687,0.42851,0.67219,0.9632,0.0549492,0.0039492,0.0039492
51,34.2599,1.14029,1.23084,0.93672,0.98717,1,0.995,0.90687,0.42851,0.67219,0.9632,0.05401,0.00401,0.00401
52,34.9152,0.39242,0.83852,0.93003,0.98717,1,0.995,0.90687,0.42851,0.67219,0.9632,0.05307,0.00407,0.00407
53,35.536,0.36627,0.63945,0.85766,0.98717,1,0.995,0.90687,0.42851,0.67219,0.9632,0.0521292,0.00412922,0.00412922
54,36.1418,0.6385,0.7313,0.71484,0.98717,1,0.995,0.90687,0.42851,0.67219,0.9632,0.0511876,0.00418764,0.00418764
55,36.7751,0.52642,0.69635,0.91181,0.98723,1,0.995,0.995,0.40189,0.61793,0.94492,0.0502453,0.00424526,0.00424526
56,37.4637,0.41025,0.80723,0.87973,0.98723,1,0.995,0.995,0.40189,0.61793,0.94492,0.0493021,0.0043021,0.0043021
57,38.3157,0.63597,0.67432,0.97526,0.98723,1,0.995,0.995,0.40189,0.61793,0.94492,0.0483581,0.00435814,0.00435814
