epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.90034,4.14274,7.29717,2.08282,0,0,0,0,3.03713,7.09934,1.23981,0.1,0,0
2,3.83527,4.88138,5.93647,2.62978,0,0,0,0,2.82456,7.03502,1.21022,0.0990996,9.9604e-05,9.9604e-05
3,5.45247,4.7499,6.6614,1.98451,0,0,0,0,2.87894,6.9224,1.24674,0.0981984,0.000198416,0.000198416
4,7.03967,2.14932,5.30236,1.17385,0,0,0,0,2.87199,6.79084,1.28167,0.0972964,0.000296436,0.000296436
5,8.74158,3.01977,8.40164,1.53338,0,0,0,0,2.83397,6.54758,1.29431,0.0963937,0.000393664,0.000393664
6,10.437,3.80878,7.29684,1.60388,0,0,0,0,2.71367,6.45986,1.279,0.0954901,0.0004901,0.0004901
7,12.0781,4.21847,8.97808,1.55898,0,0,0,0,2.98832,5.8991,1.44322,0.0945857,0.000585744,0.000585744
8,13.7039,3.22108,5.37054,1.48622,0,0,0,0,1.84188,6.44485,1.12371,0.0936806,0.000680596,0.000680596
9,15.2384,3.18862,5.46403,1.20227,0,0,0,0,1.84188,6.44485,1.12371,0.0927747,0.000774656,0.000774656
10,17.114,2.42841,6.24723,1.51752,0,0,0,0,2.23678,6.08729,1.22994,0.0918679,0.000867924,0.000867924
11,18.7867,0,7.66157,0,0,0,0,0,2.23678,6.08729,1.22994,0.0909604,0.0009604,0.0009604
12,20.3789,3.0041,6.5533,1.797,0,0,0,0,2.70378,5.4991,1.36131,0.0900521,0.00105208,0.00105208
13,21.9208,2.45831,5.77387,1.57937,0,0,0,0,2.70378,5.4991,1.36131,0.089143,0.00114298,0.00114298
14,23.5642,2.39082,6.89087,1.33212,0,0,0,0,1.94734,5.07354,1.06431,0.0882331,0.00123308,0.00123308
15,25.0945,2.40278,5.78859,1.50305,0,0,0,0,1.94734,5.07354,1.06431,0.0873224,0.00132238,0.00132238
16,26.7056,2.79557,6.52081,1.581,0,0,0,0,1.48627,5.29911,0.9383,0.0864109,0.0014109,0.0014109
17,28.535,2.0136,5.1701,1.0589,0,0,0,0,1.48627,5.29911,0.9383,0.0854986,0.00149862,0.00149862
18,30.3223,2.77694,4.94241,1.61013,0,0,0,0,1.33036,5.0557,0.94847,0.0845856,0.00158556,0.00158556
19,31.8863,2.74366,5.92639,1.08213,0,0,0,0,1.33036,5.0557,0.94847,0.0836717,0.0016717,0.0016717
20,33.5311,1.8689,5.60168,1.21762,0,0,0,0,1.82488,4.67589,0.9288,0.082757,0.00175704,0.00175704
21,35.1774,2.68162,4.9934,1.00126,0,0,0,0,1.82488,4.67589,0.9288,0.0818416,0.0018416,0.0018416
22,36.8338,2.96493,5.13089,1.10594,0,0,0,0,2.11402,4.64612,0.96101,0.0809254,0.00192536,0.00192536
23,38.4126,0,7.14952,0,0,0,0,0,2.11402,4.64612,0.96101,0.0800083,0.00200834,0.00200834
24,40.0237,2.12505,5.18652,1.11894,0,0,0,0,2.11402,4.64612,0.96101,0.0790905,0.00209052,0.00209052
25,41.6436,2.06102,5.15447,1.28813,0,0,0,0,2.23005,4.9473,0.97716,0.0781719,0.0021719,0.0021719
26,43.2356,2.30696,5.1507,0.87104,0,0,0,0,2.23005,4.9473,0.97716,0.0772525,0.0022525,0.0022525
27,44.8112,1.8254,5.1464,1.155,0,0,0,0,2.23005,4.9473,0.97716,0.0763323,0.0023323,0.0023323
28,46.4164,2.62622,4.95448,1.42605,0,0,0,0,1.663,4.69219,0.89601,0.0754113,0.00241132,0.00241132
29,48.1616,2.41199,4.78756,1.04985,0,0,0,0,1.663,4.69219,0.89601,0.0744895,0.00248954,0.00248954
30,49.7091,1.98266,4.91546,1.25265,0,0,0,0,1.663,4.69219,0.89601,0.073567,0.00256696,0.00256696
31,51.3438,1.70263,4.66473,1.08652,0,0,0,0,1.42649,4.55992,0.87972,0.0726436,0.0026436,0.0026436
32,52.9081,1.76304,4.11863,0.96064,0,0,0,0,1.42649,4.55992,0.87972,0.0717194,0.00271944,0.00271944
33,54.485,1.12864,4.23234,1.02754,0,0,0,0,1.42649,4.55992,0.87972,0.0707945,0.0027945,0.0027945
34,56.1341,1.5815,3.86051,0.85504,0.00249,0.5,0.00559,0.00391,1.13474,4.2949,0.81985,0.0698688,0.00286876,0.00286876
35,57.702,1.58407,4.3816,1.0817,0.00249,0.5,0.00559,0.00391,1.13474,4.2949,0.81985,0.0689422,0.00294222,0.00294222
36,59.2944,1.66157,4.23393,1.27482,0.00249,0.5,0.00559,0.00391,1.13474,4.2949,0.81985,0.0680149,0.0030149,0.0030149
37,60.9006,1.90645,3.63847,0.93975,0.00249,0.5,0.00559,0.00391,1.13474,4.2949,0.81985,0.0670868,0.00308678,0.00308678
38,62.7759,1.34351,4.48835,1.06269,0.00275,0.5,0.00535,0.00481,0.99874,4.1492,0.81277,0.0661579,0.00315788,0.00315788
39,64.2974,1.17711,3.85072,1.08049,0.00275,0.5,0.00535,0.00481,0.99874,4.1492,0.81277,0.0652282,0.00322818,0.00322818
40,65.9414,1.44123,4.04258,1.28809,0.00275,0.5,0.00535,0.00481,0.99874,4.1492,0.81277,0.0642977,0.00329768,0.00329768
41,67.5037,1.64467,3.57022,0.99272,0.00275,0.5,0.00535,0.00481,0.99874,4.1492,0.81277,0.0633664,0.0033664,0.0033664
42,69.3546,1.07995,3.56825,0.95333,0,0,0,0,0.78486,4.10402,0.76882,0.0624343,0.00343432,0.00343432
43,70.905,1.6143,3.8464,1.07315,0,0,0,0,0.78486,4.10402,0.76882,0.0615015,0.00350146,0.00350146
44,72.4294,1.62177,3.27935,0.99459,0,0,0,0,0.78486,4.10402,0.76882,0.0605678,0.0035678,0.0035678
45,73.9666,1.28182,4.16742,1.01435,0,0,0,0,0.78486,4.10402,0.76882,0.0596333,0.00363334,0.00363334
46,75.8064,1.4398,3.85074,1.06364,0,0,0,0,0.74956,4.04602,0.73164,0.0586981,0.0036981,0.0036981
47,77.3793,2.62052,3.75331,1.35042,0,0,0,0,0.74956,4.04602,0.73164,0.0577621,0.00376206,0.00376206
48,78.9147,1.12269,2.57989,1.02964,0,0,0,0,0.74956,4.04602,0.73164,0.0568252,0.00382524,0.00382524
49,80.4406,1.8014,2.72777,1.01425,0,0,0,0,0.74956,4.04602,0.73164,0.0558876,0.00388762,0.00388762
50,82.0197,0,6.85954,0,0.00249,0.5,0.00858,0.00772,0.89478,3.81146,0.70176,0.0549492,0.0039492,0.0039492
51,83.5965,2.2764,3.72775,1.1598,0.00249,0.5,0.00858,0.00772,0.89478,3.81146,0.70176,0.05401,0.00401,0.00401
52,85.1365,1.23045,2.20685,0.83743,0.00249,0.5,0.00858,0.00772,0.89478,3.81146,0.70176,0.05307,0.00407,0.00407
53,86.6928,1.33228,2.23905,0.78302,0.00249,0.5,0.00858,0.00772,0.89478,3.81146,0.70176,0.0521292,0.00412922,0.00412922
54,88.2626,2.7872,3.24875,1.32018,0.00249,0.5,0.00858,0.00772,0.89478,3.81146,0.70176,0.0511876,0.00418764,0.00418764
55,89.9067,1.67182,2.59119,1.07451,0.00762,1,0.50493,0.2552,1.24755,3.60869,0.77953,0.0502453,0.00424526,0.00424526
56,91.4336,1.5803,2.16264,0.78831,0.00762,1,0.50493,0.2552,1.24755,3.60869,0.77953,0.0493021,0.0043021,0.0043021
57,93.1165,1.59497,2.02808,0.92018,0.00762,1,0.50493,0.2552,1.24755,3.60869,0.77953,0.0483581,0.00435814,0.00435814
58,94.7048,1.21832,1.84848,1.06477,0.00762,1,0.50493,0.2552,1.24755,3.60869,0.77953,0.0474134,0.0044134,0.0044134
59,96.2696,1.89086,2.4334,1.41231,0.00762,1,0.50493,0.2552,1.24755,3.60869,0.77953,0.0464679,0.00446786,0.00446786
60,97.9057,1.91425,2.31306,0.96322,0.00733,1,0.995,0.74625,1.10897,3.25319,0.77251,0.0455215,0.00452152,0.00452152
61,99.4345,1.23243,3.00176,0.93492,0.00733,1,0.995,0.74625,1.10897,3.25319,0.77251,0.0445744,0.0045744,0.0045744
62,100.926,1.33836,2.31113,1.05811,0.00733,1,0.995,0.74625,1.10897,3.25319,0.77251,0.0436265,0.00462648,0.00462648
63,102.471,1.17127,2.83431,0.76128,0.00733,1,0.995,0.74625,1.10897,3.25319,0.77251,0.0426778,0.00467778,0.00467778
64,103.988,1.23875,2.18,0.93403,0.00733,1,0.995,0.74625,1.10897,3.25319,0.77251,0.0417283,0.00472828,0.00472828
65,105.561,1.60165,3.59211,0.88375,0.00762,1,0.62187,0.38556,1.15233,3.53304,0.82543,0.040778,0.00477798,0.00477798
66,107.125,1.82646,2.44729,1.19711,0.00762,1,0.62187,0.38556,1.15233,3.53304,0.82543,0.0398269,0.0048269,0.0048269
67,108.806,1.32486,2.0039,0.85003,0.00762,1,0.62187,0.38556,1.15233,3.53304,0.82543,0.038875,0.00487502,0.00487502
68,110.326,1.21171,1.94504,1.02258,0.00762,1,0.62187,0.38556,1.15233,3.53304,0.82543,0.0379224,0.00492236,0.00492236
69,111.813,1.2077,2.35842,0.88462,0.00762,1,0.62187,0.38556,1.15233,3.53304,0.82543,0.0369689,0.0049689,0.0049689
70,113.34,1.66842,1.83067,1.25191,0.00762,1,0.62187,0.38556,1.15233,3.53304,0.82543,0.0360146,0.00501464,0.00501464
71,114.964,1.86611,2.60496,1.2726,0.00754,1,0.995,0.597,1.29781,3.19458,0.79688,0.0350596,0.0050596,0.0050596
72,116.447,0.65973,2.32748,0.81905,0.00754,1,0.995,0.597,1.29781,3.19458,0.79688,0.0341038,0.00510376,0.00510376
73,117.949,1.86976,2.59634,1.01387,0.00754,1,0.995,0.597,1.29781,3.19458,0.79688,0.0331471,0.00514714,0.00514714
74,119.458,1.49347,3.62723,0.99465,0.00754,1,0.995,0.597,1.29781,3.19458,0.79688,0.0321897,0.00518972,0.00518972
75,120.955,1.41232,3.63907,1.02516,0.00754,1,0.995,0.597,1.29781,3.19458,0.79688,0.0312315,0.0052315,0.0052315
76,122.497,2.20079,2.18901,1.0085,0.00754,1,0.995,0.597,1.29781,3.19458,0.79688,0.0302725,0.0052725,0.0052725
77,124.126,2.38444,3.60033,1.12667,0.00743,1,0.66333,0.41652,1.29749,3.23254,0.78468,0.0293127,0.0053127,0.0053127
78,125.637,1.95181,1.92496,0.96529,0.00743,1,0.66333,0.41652,1.29749,3.23254,0.78468,0.0283521,0.00535212,0.00535212
79,127.164,1.36256,1.15934,0.96747,0.00743,1,0.66333,0.41652,1.29749,3.23254,0.78468,0.0273907,0.00539074,0.00539074
80,128.746,1.74478,2.22336,0.94284,0.00743,1,0.66333,0.41652,1.29749,3.23254,0.78468,0.0264286,0.00542856,0.00542856
81,130.262,1.05576,2.47754,1.17462,0.00743,1,0.66333,0.41652,1.29749,3.23254,0.78468,0.0254656,0.0054656,0.0054656
82,131.814,1.67016,2.23149,1.26136,0.00743,1,0.66333,0.41652,1.29749,3.23254,0.78468,0.0245018,0.00550184,0.00550184
83,133.338,2.22881,2.51391,1.07877,0.00743,1,0.66333,0.41652,1.29749,3.23254,0.78468,0.0235373,0.0055373,0.0055373
84,134.94,1.60217,2.07294,1.18058,0.80092,0.5,0.995,0.6965,1.29179,2.5518,0.76001,0.022572,0.00557196,0.00557196
85,136.465,1.92369,1.99564,0.7862,0.80092,0.5,0.995,0.6965,1.29179,2.5518,0.76001,0.0216058,0.00560582,0.00560582
86,138.086,1.26595,2.21329,0.79423,0.80092,0.5,0.995,0.6965,1.29179,2.5518,0.76001,0.0206389,0.0056389,0.0056389
87,139.642,1.21506,2.78116,0.77022,0.80092,0.5,0.995,0.6965,1.29179,2.5518,0.76001,0.0196712,0.00567118,0.00567118
88,141.212,2.15569,2.25055,0.91513,0.80092,0.5,0.995,0.6965,1.29179,2.5518,0.76001,0.0187027,0.00570268,0.00570268
89,143.147,1.23166,2.02121,1.00164,0.80092,0.5,0.995,0.6965,1.29179,2.5518,0.76001,0.0177334,0.00573338,0.00573338
90,144.444,1.28744,1.73382,0.93923,0.80092,0.5,0.995,0.6965,1.29179,2.5518,0.76001,0.0167633,0.00576328,0.00576328
91,146.009,1.19831,1.83086,0.89734,0.00691,1,0.74625,0.52294,1.29421,3.47576,0.8652,0.0157924,0.0057924,0.0057924
92,147.58,1.59586,1.72797,0.97536,0.00691,1,0.74625,0.52294,1.29421,3.47576,0.8652,0.0148207,0.00582072,0.00582072
93,149.147,1.71489,2.88059,1.12439,0.00691,1,0.74625,0.52294,1.29421,3.47576,0.8652,0.0138483,0.00584826,0.00584826
94,150.919,1.79883,2.89585,0.92616,0.00691,1,0.74625,0.52294,1.29421,3.47576,0.8652,0.012875,0.005875,0.005875
95,152.485,1.83277,2.4771,1.1459,0.00691,1,0.74625,0.52294,1.29421,3.47576,0.8652,0.0119009,0.00590094,0.00590094
96,154.004,0.9398,1.93813,0.8541,0.00691,1,0.74625,0.52294,1.29421,3.47576,0.8652,0.0109261,0.0059261,0.0059261
97,155.538,1.85854,2.26303,0.82906,0.00691,1,0.74625,0.52294,1.29421,3.47576,0.8652,0.00995046,0.00595046,0.00595046
98,157.135,1.48033,2.11235,1.17407,0.00691,1,0.74625,0.52294,1.29421,3.47576,0.8652,0.00897404,0.00597404,0.00597404
99,158.775,1.01932,2.27474,0.85269,0.61808,1,0.995,0.57212,1.17589,1.95752,0.79219,0.00799682,0.00599682,0.00599682
100,160.28,1.53848,1.57838,0.90498,0.61808,1,0.995,0.57212,1.17589,1.95752,0.79219,0.0070188,0.0060188,0.0060188
101,161.761,2.33893,1.8503,0.94533,0.61808,1,0.995,0.57212,1.17589,1.95752,0.79219,0.00604,0.00604,0.00604
102,163.345,1.75572,1.7308,1.30034,0.61808,1,0.995,0.57212,1.17589,1.95752,0.79219,0.0060004,0.0060004,0.0060004
103,164.851,1.49774,2.6646,1.08669,0.61808,1,0.995,0.57212,1.17589,1.95752,0.79219,0.0059608,0.0059608,0.0059608
104,166.367,1.9734,2.67116,1.05642,0.61808,1,0.995,0.57212,1.17589,1.95752,0.79219,0.0059212,0.0059212,0.0059212
105,168.001,2.43819,2.566,0.93066,0.61808,1,0.995,0.57212,1.17589,1.95752,0.79219,0.0058816,0.0058816,0.0058816
106,169.546,2.28247,1.94528,1.24454,0.61808,1,0.995,0.57212,1.17589,1.95752,0.79219,0.005842,0.005842,0.005842
107,171.141,1.2607,2.02758,1.03518,0.6675,1,0.995,0.62187,1.15506,2.3879,0.79194,0.0058024,0.0058024,0.0058024
108,172.705,2.47511,1.73912,1.12425,0.6675,1,0.995,0.62187,1.15506,2.3879,0.79194,0.0057628,0.0057628,0.0057628
109,174.238,0.99435,2.22513,0.98311,0.6675,1,0.995,0.62187,1.15506,2.3879,0.79194,0.0057232,0.0057232,0.0057232
110,175.76,1.13261,2.29458,1.11247,0.6675,1,0.995,0.62187,1.15506,2.3879,0.79194,0.0056836,0.0056836,0.0056836
