epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.53183,2.32644,4.89693,1.4023,0,0,0,0,2.87158,5.16192,1.46651,0.1,0,0
2,6.23976,2.67522,4.90706,1.54178,0,0,0,0,2.78732,5.10675,1.43754,0.0990996,9.9604e-05,9.9604e-05
3,8.82732,1.86598,4.57123,1.38267,0,0,0,0,2.61611,5.13124,1.41911,0.0981984,0.000198416,0.000198416
4,11.9178,2.57726,5.41857,1.31245,0,0,0,0,2.58051,5.12539,1.41324,0.0972964,0.000296436,0.000296436
5,14.6697,2.78104,6.47122,1.49221,0,0,0,0,2.37807,5.06338,1.36696,0.0963937,0.000393664,0.000393664
6,17.2282,2.31398,5.27712,1.44784,0,0,0,0,2.25057,5.01444,1.33574,0.0954901,0.0004901,0.0004901
7,19.7898,3.82079,8.50822,1.57812,0,0,0,0,2.22171,4.95346,1.30388,0.0945857,0.000585744,0.000585744
8,22.3169,2.38944,4.96844,1.40132,0,0,0,0,1.96054,4.77055,1.20195,0.0936806,0.000680596,0.000680596
9,24.845,3.04504,6.11982,1.72159,0,0,0,0,1.96054,4.77055,1.20195,0.0927747,0.000774656,0.000774656
10,27.8983,4.30284,7.14493,2.04035,0,0,0,0,1.9041,4.65917,1.16556,0.0918679,0.000867924,0.000867924
11,30.4823,2.53402,5.90514,1.33043,0,0,0,0,1.9041,4.65917,1.16556,0.0909604,0.0009604,0.0009604
12,33.1133,1.95501,5.03328,1.25875,0,0,0,0,2.08606,4.76717,1.20871,0.0900521,0.00105208,0.00105208
13,35.5524,2.29092,5.3555,1.50252,0,0,0,0,2.08606,4.76717,1.20871,0.089143,0.00114298,0.00114298
14,38.0064,2.17438,4.82084,1.30112,0.00139,0.16667,0.00102,0.00061,1.96291,4.66964,1.16414,0.0882331,0.00123308,0.00123308
15,40.5433,2.26867,4.89807,1.2796,0.00139,0.16667,0.00102,0.00061,1.96291,4.66964,1.16414,0.0873224,0.00132238,0.00132238
16,43.1554,2.15225,4.79187,1.2287,0.00146,0.16667,0.00113,0.00068,1.78817,4.53253,1.09471,0.0864109,0.0014109,0.0014109
17,44.9229,2.00116,4.94634,1.09805,0.00146,0.16667,0.00113,0.00068,1.78817,4.53253,1.09471,0.0854986,0.00149862,0.00149862
18,46.0139,2.22963,5.59259,1.36199,0.00153,0.16667,0.00113,0.00045,1.56514,4.5442,1.051,0.0845856,0.00158556,0.00158556
19,47.1487,1.75108,4.39175,1.14795,0.00153,0.16667,0.00113,0.00045,1.56514,4.5442,1.051,0.0836717,0.0016717,0.0016717
20,48.3626,2.50008,4.60189,1.21733,0,0,0,0,1.69558,4.47328,1.11071,0.082757,0.00175704,0.00175704
21,49.5904,1.81256,4.2626,1.119,0,0,0,0,1.69558,4.47328,1.11071,0.0818416,0.0018416,0.0018416
22,51.0393,1.76153,4.09486,1.06577,0,0,0,0,1.84643,4.46457,1.17495,0.0809254,0.00192536,0.00192536
23,53.0571,1.77852,4.28653,1.17616,0,0,0,0,1.84643,4.46457,1.17495,0.0800083,0.00200834,0.00200834
24,54.5726,1.72006,4.33839,0.97002,0,0,0,0,1.84643,4.46457,1.17495,0.0790905,0.00209052,0.00209052
